time_shift,transfer_entropy,std
0,0.0037186103497285007,0.006082228192218299
1,0.001600138452240606,0.0023246013117920526
2,0.0008365095863221847,0.0010605797081201826
3,0.0005195974740879673,0.0005752218494880068
4,0.00039483655827424934,0.000403270035604595
5,0.00016925500604895,0.00012990671139019523
6,0.00016453453550509888,0.00011832780412373865
7,0.00016616587382696412,0.00011541423004473179
8,0.00016602833477825783,0.00011817764416250406
9,0.00016062678767431667,0.00011098642983252432
10,0.0001595989286066971,0.00010512170227446681
11,0.00016626554077417766,0.00011597313948507633
12,0.00015825074650317218,0.00010977550248730266
13,0.00015966546724437432,0.00010822047017077811
14,0.00015798306296999748,0.00010775084555571947
