time_shift,transfer_entropy,std
0,0.001013590784241133,0.00138290933215874
1,0.0007687808636001633,0.0009620010821550308
2,0.0005819950793864212,0.0006898593227061996
3,0.00047612581057100283,0.0005585280529100323
4,0.00038893637004023694,0.00043357115964051804
5,0.0002335846092177284,0.00021346952753311125
6,0.00021772953070098354,0.00016289191317011054
7,0.00020599471791814052,0.00015565811216264056
8,0.00020717054388544431,0.00014597062621091622
9,0.00020553264577538824,0.00012996490706943746
10,0.00019631283095760348,0.00012262933213119786
11,0.00019815065892355864,0.00012185004314445751
12,0.000195872854903121,0.00011477998170369617
13,0.00019729810359719435,0.00011169204189418012
14,0.00019306139343381795,0.00011232303105286434
