time_shift,transfer_entropy,std
0,0.0014978515769874783,0.0019623745727275124
1,0.0009278885792390201,0.0011868388834946153
2,0.0006245672700946683,0.0007963772387350476
3,0.00045763925226751474,0.0005392473574238112
4,0.0003635060012021102,0.0003948514914975435
5,0.00019914179589285318,0.0001713356947248593
6,0.0001859185299175907,0.00013662920827487617
7,0.00018368381098074534,0.00014092185823540894
8,0.00018163424727809296,0.0001303782300804162
9,0.00017824914778426834,0.0001194020857732526
10,0.00017907191517236472,0.000109434995523994
11,0.0001739448054726679,0.00010531488771344494
12,0.00017545100368303527,0.00010970133705602038
13,0.00017095902603465613,0.00010845725185189904
14,0.00017768389292419727,0.00010810813967182833
