time_shift,transfer_entropy,std
0,0.0006287823230367004,0.0007137696830782885
1,0.0005168211750649767,0.0005421752770425937
2,0.00043964799035005743,0.00044065152433223287
3,0.0003887620106977406,0.0003926836444268122
4,0.0003354518962976221,0.000336498903104604
5,0.0002258272955173362,0.00017597570658291282
6,0.0002192627607878205,0.0001606676986012393
7,0.00021069554295928113,0.00014498010106776064
8,0.00020078700874632586,0.00013067501444314537
9,0.00019926779550947702,0.0001232282433009795
10,0.00019813035228352638,0.00011958442168541997
11,0.00020048970395788378,0.00011119900258199064
12,0.00018811680130183643,0.00010051717240048174
13,0.0001970970737458321,0.00010635217461981118
14,0.00018762946485231414,0.00010122445870904264
