time_shift,transfer_entropy,std
0,0.0007896411876401357,0.0008535951715915693
1,0.0006658904678247954,0.0006687509352476202
2,0.0005596923056292285,0.0005144571997823085
3,0.00047675361340868106,0.0004350665903911206
4,0.00041546115627971947,0.0003761904053233626
5,0.00026668149582934915,0.000213018439153715
6,0.00024358700838121334,0.00017201427661999043
7,0.0002292464764712706,0.00015517981401086932
8,0.00022402171208084983,0.00013892296995124902
9,0.0002118242152526376,0.00013450329018356187
10,0.00021644128528251546,0.00012435935743145688
11,0.00021297412771993117,0.00012271419487614062
12,0.00020904321956614384,0.0001137202898619393
13,0.00021808330529858504,0.00011785694694325716
14,0.00021410279606083154,0.00012072136936670131
